Person1_Age,Person2_Age,Person1_Gender,Person2_Gender,Same_Last_Name,Marital_Status,Living_Together_Duration,Household_Role_P1,Household_Role_P2,Relationship_Label
60,69,Male,Female,Yes,Married,3.6,Husband,Wife,Husband-Wife
53,17,Female,Female,Yes,Single,6.8,Grandmother,Granddaughter,Grandmother-Granddaughter
53,62,Female,Female,Yes,Single,28.7,Sister,Sister,Sister-Sister
65,26,Male,Female,Yes,Divorced,3.6,Grandfather,Granddaughter,Grandfather-Granddaughter
36,1,Male,Male,Yes,Single,22.6,Father,Son,Father-Son
49,41,Male,Female,No,Single,7.7,Roommate,Roommate,Unrelated
84,49,Female,Male,Yes,Married,16.4,Grandmother,Grandson,Grandmother-Grandson
37,1,Male,Female,Yes,Widowed,19.9,Father,Daughter,Father-Daughter
45,15,Female,Male,Yes,Single,6.0,Mother,Son,Mother-Son
80,8,Female,Male,Yes,Single,20.7,Grandmother,Grandson,Grandmother-Grandson
57,55,Male,Female,Yes,Single,10.5,Brother,Sister,Brother-Sister
51,14,Male,Male,Yes,Widowed,24.3,Father,Son,Father-Son
42,16,Female,Female,Yes,Single,21.4,Mother,Daughter,Mother-Daughter
55,7,Female,Female,Yes,Married,8.8,Grandmother,Granddaughter,Grandmother-Granddaughter
38,13,Female,Male,Yes,Widowed,24.8,Mother,Son,Mother-Son
66,4,Male,Male,Yes,Widowed,13.5,Father,Son,Father-Son
67,26,Male,Male,Yes,Divorced,28.5,Grandfather,Grandson,Grandfather-Grandson
49,56,Male,Female,Yes,Single,13.2,Brother,Sister,Brother-Sister
34,22,Male,Female,Yes,Married,5.5,Husband,Wife,Husband-Wife
67,5,Female,Male,Yes,Divorced,10.6,Grandmother,Grandson,Grandmother-Grandson
59,23,Male,Male,Yes,Widowed,4.6,Father,Son,Father-Son
78,39,Female,Female,Yes,Single,25.5,Grandmother,Granddaughter,Grandmother-Granddaughter
71,11,Female,Female,Yes,Single,23.2,Grandmother,Granddaughter,Grandmother-Granddaughter
26,18,Male,Female,Yes,Married,21.2,Husband,Wife,Husband-Wife
61,5,Female,Female,Yes,Widowed,11.9,Grandmother,Granddaughter,Grandmother-Granddaughter
74,39,Female,Female,Yes,Divorced,23.0,Grandmother,Granddaughter,Grandmother-Granddaughter
45,51,Male,Female,Yes,Married,27.8,Husband,Wife,Husband-Wife
67,14,Male,Female,Yes,Divorced,2.5,Father,Daughter,Father-Daughter
36,0,Female,Female,Yes,Divorced,27.6,Mother,Daughter,Mother-Daughter
80,20,Female,Male,Yes,Divorced,2.7,Grandmother,Grandson,Grandmother-Grandson
26,61,Female,Female,No,Single,16.7,Roommate,Roommate,Unrelated
65,25,Male,Male,Yes,Widowed,19.0,Father,Son,Father-Son
50,7,Female,Male,Yes,Widowed,16.8,Grandmother,Grandson,Grandmother-Grandson
25,20,Male,Male,Yes,Single,20.3,Brother,Brother,Brother-Brother
62,62,Male,Female,Yes,Married,11.6,Husband,Wife,Husband-Wife
25,32,Female,Female,Yes,Single,12.9,Sister,Sister,Sister-Sister
62,0,Female,Female,Yes,Married,26.7,Grandmother,Granddaughter,Grandmother-Granddaughter
67,38,Male,Female,Yes,Divorced,27.4,Father,Daughter,Father-Daughter
71,1,Male,Male,Yes,Widowed,23.3,Grandfather,Grandson,Grandfather-Grandson
55,3,Female,Male,Yes,Married,26.8,Grandmother,Grandson,Grandmother-Grandson
82,28,Female,Male,Yes,Single,5.8,Grandmother,Grandson,Grandmother-Grandson
59,24,Female,Male,Yes,Single,9.2,Mother,Son,Mother-Son
82,5,Female,Female,Yes,Married,5.8,Grandmother,Granddaughter,Grandmother-Granddaughter
35,11,Male,Female,Yes,Single,16.6,Father,Daughter,Father-Daughter
79,18,Male,Male,Yes,Widowed,28.3,Grandfather,Grandson,Grandfather-Grandson
30,26,Female,Female,Yes,Single,24.7,Sister,Sister,Sister-Sister
86,44,Male,Female,Yes,Married,28.1,Grandfather,Granddaughter,Grandfather-Granddaughter
58,15,Female,Female,Yes,Married,13.4,Grandmother,Granddaughter,Grandmother-Granddaughter
9,14,Male,Male,Yes,Single,2.9,Brother,Brother,Brother-Brother
47,40,Male,Female,Yes,Married,10.6,Husband,Wife,Husband-Wife
68,59,Male,Female,No,Single,6.3,Roommate,Roommate,Unrelated
15,11,Male,Male,Yes,Single,24.3,Brother,Brother,Brother-Brother
70,31,Male,Female,Yes,Widowed,2.5,Father,Daughter,Father-Daughter
45,45,Female,Female,Yes,Single,6.3,Sister,Sister,Sister-Sister
56,54,Female,Female,Yes,Single,19.2,Sister,Sister,Sister-Sister
38,16,Female,Female,Yes,Married,8.6,Mother,Daughter,Mother-Daughter
58,30,Male,Male,Yes,Divorced,3.4,Father,Son,Father-Son
68,0,Female,Female,Yes,Married,2.3,Grandmother,Granddaughter,Grandmother-Granddaughter
39,0,Female,Female,Yes,Widowed,3.5,Mother,Daughter,Mother-Daughter
56,22,Female,Female,Yes,Single,2.5,Mother,Daughter,Mother-Daughter
64,14,Female,Female,Yes,Widowed,18.0,Mother,Daughter,Mother-Daughter
26,34,Male,Female,Yes,Single,10.9,Brother,Sister,Brother-Sister
44,48,Male,Male,Yes,Single,16.9,Brother,Brother,Brother-Brother
59,34,Female,Female,No,Single,20.0,Roommate,Roommate,Unrelated
48,53,Male,Female,Yes,Single,24.3,Brother,Sister,Brother-Sister
77,2,Female,Male,Yes,Married,6.3,Grandmother,Grandson,Grandmother-Grandson
67,40,Female,Female,No,Single,15.7,Roommate,Roommate,Unrelated
50,42,Female,Female,Yes,Single,17.2,Sister,Sister,Sister-Sister
53,0,Male,Female,Yes,Single,1.4,Grandfather,Granddaughter,Grandfather-Granddaughter
83,18,Male,Male,Yes,Single,28.2,Grandfather,Grandson,Grandfather-Grandson
48,47,Male,Male,No,Single,5.1,Roommate,Roommate,Unrelated
86,47,Female,Male,Yes,Widowed,5.8,Grandmother,Grandson,Grandmother-Grandson
34,15,Female,Female,Yes,Widowed,0.8,Mother,Daughter,Mother-Daughter
16,6,Male,Male,Yes,Single,1.1,Brother,Brother,Brother-Brother
84,2,Male,Male,Yes,Divorced,23.9,Grandfather,Grandson,Grandfather-Grandson
35,26,Male,Male,Yes,Single,13.5,Brother,Brother,Brother-Brother
57,53,Male,Male,Yes,Single,17.4,Brother,Brother,Brother-Brother
33,12,Male,Male,Yes,Single,6.0,Father,Son,Father-Son
20,30,Male,Male,Yes,Single,18.0,Brother,Brother,Brother-Brother
51,35,Male,Male,No,Single,6.9,Roommate,Roommate,Unrelated
52,12,Male,Female,Yes,Divorced,18.9,Grandfather,Granddaughter,Grandfather-Granddaughter
53,52,Male,Male,Yes,Single,5.9,Brother,Brother,Brother-Brother
80,32,Female,Male,Yes,Married,29.9,Grandmother,Grandson,Grandmother-Grandson
45,23,Male,Male,Yes,Widowed,11.9,Father,Son,Father-Son
38,37,Female,Male,No,Single,6.4,Roommate,Roommate,Unrelated
16,20,Male,Male,Yes,Single,20.3,Brother,Brother,Brother-Brother
90,12,Female,Female,Yes,Married,15.2,Grandmother,Granddaughter,Grandmother-Granddaughter
71,25,Female,Male,Yes,Widowed,2.6,Grandmother,Grandson,Grandmother-Grandson
28,27,Male,Male,Yes,Single,24.8,Brother,Brother,Brother-Brother
53,4,Male,Female,Yes,Divorced,1.2,Grandfather,Granddaughter,Grandfather-Granddaughter
53,32,Female,Female,Yes,Divorced,16.6,Mother,Daughter,Mother-Daughter
55,67,Male,Female,Yes,Married,12.6,Husband,Wife,Husband-Wife
37,25,Female,Male,No,Single,16.3,Roommate,Roommate,Unrelated
40,4,Male,Male,Yes,Single,18.7,Father,Son,Father-Son
13,7,Female,Female,Yes,Single,8.7,Sister,Sister,Sister-Sister
83,41,Female,Female,Yes,Widowed,1.1,Grandmother,Granddaughter,Grandmother-Granddaughter
10,0,Female,Female,Yes,Single,26.5,Sister,Sister,Sister-Sister
63,45,Male,Female,Yes,Single,5.4,Father,Daughter,Father-Daughter
76,16,Male,Male,Yes,Married,15.7,Grandfather,Grandson,Grandfather-Grandson
21,18,Female,Female,No,Single,18.4,Roommate,Roommate,Unrelated
70,38,Male,Female,Yes,Widowed,14.9,Father,Daughter,Father-Daughter
89,4,Female,Male,Yes,Married,25.0,Grandmother,Grandson,Grandmother-Grandson
79,34,Female,Female,Yes,Single,27.9,Grandmother,Granddaughter,Grandmother-Granddaughter
65,20,Male,Male,Yes,Married,0.8,Grandfather,Grandson,Grandfather-Grandson
64,15,Male,Male,Yes,Single,15.9,Father,Son,Father-Son
51,10,Male,Male,Yes,Divorced,17.7,Grandfather,Grandson,Grandfather-Grandson
9,0,Female,Female,Yes,Single,14.3,Sister,Sister,Sister-Sister
53,56,Male,Female,Yes,Married,1.3,Husband,Wife,Husband-Wife
49,8,Male,Male,Yes,Single,16.4,Father,Son,Father-Son
8,18,Male,Male,Yes,Single,2.0,Brother,Brother,Brother-Brother
87,3,Female,Male,Yes,Single,3.3,Grandmother,Grandson,Grandmother-Grandson
63,34,Male,Male,Yes,Married,28.5,Father,Son,Father-Son
53,0,Female,Female,Yes,Married,15.2,Mother,Daughter,Mother-Daughter
46,57,Male,Female,Yes,Married,4.7,Husband,Wife,Husband-Wife
15,19,Male,Male,Yes,Single,20.2,Brother,Brother,Brother-Brother
46,51,Female,Male,No,Single,17.4,Roommate,Roommate,Unrelated
57,54,Male,Male,Yes,Single,25.2,Brother,Brother,Brother-Brother
47,49,Male,Female,Yes,Single,19.5,Brother,Sister,Brother-Sister
60,60,Male,Male,Yes,Single,13.5,Brother,Brother,Brother-Brother
65,11,Male,Male,Yes,Single,12.7,Grandfather,Grandson,Grandfather-Grandson
47,54,Female,Female,Yes,Single,25.8,Sister,Sister,Sister-Sister
61,4,Female,Male,Yes,Widowed,24.7,Grandmother,Grandson,Grandmother-Grandson
23,24,Male,Female,Yes,Single,5.6,Brother,Sister,Brother-Sister
77,34,Female,Male,Yes,Divorced,18.3,Grandmother,Grandson,Grandmother-Grandson
52,14,Male,Male,Yes,Widowed,16.6,Grandfather,Grandson,Grandfather-Grandson
53,29,Male,Male,Yes,Widowed,5.5,Father,Son,Father-Son
84,43,Male,Male,Yes,Divorced,5.0,Grandfather,Grandson,Grandfather-Grandson
70,1,Male,Female,Yes,Widowed,28.7,Father,Daughter,Father-Daughter
41,18,Male,Male,Yes,Single,1.9,Father,Son,Father-Son
68,7,Male,Female,Yes,Widowed,29.6,Father,Daughter,Father-Daughter
50,15,Male,Female,Yes,Divorced,2.7,Grandfather,Granddaughter,Grandfather-Granddaughter
88,47,Female,Male,Yes,Divorced,25.7,Grandmother,Grandson,Grandmother-Grandson
28,5,Male,Female,Yes,Married,13.8,Father,Daughter,Father-Daughter
50,4,Male,Male,Yes,Married,12.6,Father,Son,Father-Son
19,15,Male,Female,Yes,Single,12.6,Brother,Sister,Brother-Sister
17,19,Female,Female,Yes,Single,28.6,Sister,Sister,Sister-Sister
21,15,Female,Female,Yes,Single,18.4,Sister,Sister,Sister-Sister
46,27,Female,Female,Yes,Married,25.9,Mother,Daughter,Mother-Daughter
87,20,Male,Male,Yes,Widowed,1.7,Grandfather,Grandson,Grandfather-Grandson
9,7,Male,Male,Yes,Single,5.3,Brother,Brother,Brother-Brother
60,13,Male,Female,Yes,Widowed,18.8,Grandfather,Granddaughter,Grandfather-Granddaughter
28,18,Male,Female,Yes,Married,9.6,Husband,Wife,Husband-Wife
49,20,Female,Male,Yes,Widowed,21.5,Mother,Son,Mother-Son
65,35,Male,Male,Yes,Single,2.9,Father,Son,Father-Son
35,15,Female,Female,Yes,Divorced,16.2,Mother,Daughter,Mother-Daughter
36,2,Female,Male,Yes,Single,8.1,Mother,Son,Mother-Son
50,13,Male,Female,Yes,Married,26.4,Father,Daughter,Father-Daughter
57,16,Male,Female,Yes,Widowed,13.0,Grandfather,Granddaughter,Grandfather-Granddaughter
89,13,Male,Male,Yes,Married,16.0,Grandfather,Grandson,Grandfather-Grandson
70,80,Male,Female,Yes,Married,23.1,Husband,Wife,Husband-Wife
32,35,Female,Female,No,Single,8.3,Roommate,Roommate,Unrelated
56,66,Male,Male,Yes,Single,16.9,Brother,Brother,Brother-Brother
55,65,Male,Female,Yes,Single,17.1,Brother,Sister,Brother-Sister
41,44,Female,Female,Yes,Single,21.7,Sister,Sister,Sister-Sister
60,5,Female,Male,Yes,Single,24.0,Grandmother,Grandson,Grandmother-Grandson
50,26,Female,Male,Yes,Widowed,6.5,Mother,Son,Mother-Son
29,36,Male,Female,Yes,Single,26.5,Brother,Sister,Brother-Sister
47,15,Female,Male,Yes,Divorced,16.0,Mother,Son,Mother-Son
20,18,Male,Female,Yes,Married,17.6,Husband,Wife,Husband-Wife
58,28,Male,Male,Yes,Single,9.1,Father,Son,Father-Son
57,22,Female,Male,Yes,Divorced,7.1,Grandmother,Grandson,Grandmother-Grandson
57,28,Male,Male,Yes,Divorced,21.1,Father,Son,Father-Son
6,10,Male,Male,Yes,Single,21.6,Brother,Brother,Brother-Brother
54,64,Female,Female,Yes,Single,21.9,Sister,Sister,Sister-Sister
60,34,Male,Female,Yes,Married,3.3,Father,Daughter,Father-Daughter
28,4,Male,Male,Yes,Single,26.4,Father,Son,Father-Son
46,18,Female,Female,Yes,Single,19.4,Mother,Daughter,Mother-Daughter
68,29,Male,Female,Yes,Divorced,26.7,Grandfather,Granddaughter,Grandfather-Granddaughter
69,20,Male,Female,Yes,Widowed,28.0,Father,Daughter,Father-Daughter
38,33,Male,Female,Yes,Single,27.4,Brother,Sister,Brother-Sister
24,19,Female,Female,Yes,Single,25.8,Sister,Sister,Sister-Sister
75,39,Male,Male,Yes,Single,19.2,Grandfather,Grandson,Grandfather-Grandson
59,5,Female,Female,Yes,Single,26.0,Grandmother,Granddaughter,Grandmother-Granddaughter
70,22,Male,Female,Yes,Widowed,2.9,Father,Daughter,Father-Daughter
67,33,Male,Female,No,Single,24.3,Roommate,Roommate,Unrelated
32,24,Male,Female,Yes,Single,5.3,Brother,Sister,Brother-Sister
53,11,Male,Female,Yes,Married,14.7,Grandfather,Granddaughter,Grandfather-Granddaughter
16,25,Male,Female,Yes,Single,24.5,Brother,Sister,Brother-Sister
51,49,Male,Female,Yes,Single,25.3,Brother,Sister,Brother-Sister
46,0,Male,Male,Yes,Divorced,12.0,Father,Son,Father-Son
24,26,Male,Female,No,Single,12.2,Roommate,Roommate,Unrelated
68,12,Female,Male,Yes,Divorced,24.6,Grandmother,Grandson,Grandmother-Grandson
49,1,Female,Female,Yes,Divorced,26.0,Mother,Daughter,Mother-Daughter
29,20,Male,Female,Yes,Married,5.7,Husband,Wife,Husband-Wife
47,20,Female,Male,Yes,Single,26.9,Mother,Son,Mother-Son
52,9,Female,Female,Yes,Widowed,17.0,Grandmother,Granddaughter,Grandmother-Granddaughter
66,30,Female,Male,Yes,Widowed,13.6,Grandmother,Grandson,Grandmother-Grandson
50,49,Female,Female,Yes,Single,20.6,Sister,Sister,Sister-Sister
43,35,Male,Female,Yes,Married,20.6,Husband,Wife,Husband-Wife
47,29,Male,Male,Yes,Divorced,23.4,Father,Son,Father-Son
63,6,Male,Female,Yes,Widowed,25.0,Grandfather,Granddaughter,Grandfather-Granddaughter
52,62,Male,Female,Yes,Single,17.4,Brother,Sister,Brother-Sister
62,23,Male,Male,Yes,Married,20.6,Father,Son,Father-Son
27,1,Female,Male,Yes,Widowed,3.9,Mother,Son,Mother-Son
61,32,Male,Male,Yes,Single,8.8,Father,Son,Father-Son
64,13,Male,Female,Yes,Married,9.4,Grandfather,Granddaughter,Grandfather-Granddaughter
81,24,Male,Female,Yes,Widowed,3.8,Grandfather,Granddaughter,Grandfather-Granddaughter
56,48,Male,Female,Yes,Married,8.6,Husband,Wife,Husband-Wife
54,50,Male,Female,Yes,Married,26.7,Husband,Wife,Husband-Wife
62,31,Male,Female,Yes,Widowed,22.7,Father,Daughter,Father-Daughter
65,12,Female,Female,Yes,Divorced,20.6,Grandmother,Granddaughter,Grandmother-Granddaughter
39,11,Male,Female,Yes,Single,11.0,Father,Daughter,Father-Daughter
54,32,Female,Female,Yes,Single,24.1,Mother,Daughter,Mother-Daughter
13,19,Female,Female,Yes,Single,2.3,Sister,Sister,Sister-Sister
44,60,Female,Female,No,Single,13.0,Roommate,Roommate,Unrelated
74,8,Male,Male,Yes,Widowed,5.5,Grandfather,Grandson,Grandfather-Grandson
76,7,Female,Male,Yes,Married,13.4,Grandmother,Grandson,Grandmother-Grandson
65,37,Male,Male,Yes,Divorced,21.6,Father,Son,Father-Son
90,22,Female,Female,Yes,Widowed,28.6,Grandmother,Granddaughter,Grandmother-Granddaughter
50,7,Male,Female,Yes,Single,21.6,Grandfather,Granddaughter,Grandfather-Granddaughter
51,8,Male,Male,Yes,Married,15.0,Grandfather,Grandson,Grandfather-Grandson
44,25,Female,Male,Yes,Widowed,13.9,Mother,Son,Mother-Son
67,21,Female,Male,Yes,Single,9.4,Grandmother,Grandson,Grandmother-Grandson
66,3,Male,Female,Yes,Divorced,4.3,Grandfather,Granddaughter,Grandfather-Granddaughter
45,14,Male,Male,Yes,Married,26.0,Father,Son,Father-Son
50,7,Male,Male,Yes,Widowed,5.8,Grandfather,Grandson,Grandfather-Grandson
77,25,Male,Female,Yes,Widowed,24.2,Grandfather,Granddaughter,Grandfather-Granddaughter
60,10,Female,Male,Yes,Married,23.3,Grandmother,Grandson,Grandmother-Grandson
61,12,Male,Female,Yes,Widowed,13.6,Grandfather,Granddaughter,Grandfather-Granddaughter
66,43,Male,Female,Yes,Widowed,26.2,Father,Daughter,Father-Daughter
65,30,Male,Male,Yes,Single,22.9,Father,Son,Father-Son
44,26,Female,Male,Yes,Single,9.5,Mother,Son,Mother-Son
36,1,Male,Male,Yes,Divorced,4.8,Father,Son,Father-Son
44,39,Female,Female,Yes,Single,26.5,Sister,Sister,Sister-Sister
30,20,Male,Female,Yes,Married,20.0,Husband,Wife,Husband-Wife
80,44,Male,Male,Yes,Widowed,3.0,Grandfather,Grandson,Grandfather-Grandson
35,13,Male,Female,Yes,Single,26.3,Father,Daughter,Father-Daughter
42,4,Female,Male,Yes,Single,14.3,Mother,Son,Mother-Son
54,3,Male,Male,Yes,Widowed,21.9,Father,Son,Father-Son
40,15,Female,Male,Yes,Single,26.5,Mother,Son,Mother-Son
7,16,Female,Female,Yes,Single,4.1,Sister,Sister,Sister-Sister
65,32,Female,Female,Yes,Married,29.6,Mother,Daughter,Mother-Daughter
57,57,Male,Female,Yes,Married,16.3,Husband,Wife,Husband-Wife
45,67,Female,Male,No,Single,10.4,Roommate,Roommate,Unrelated
42,54,Male,Female,Yes,Married,28.0,Husband,Wife,Husband-Wife
58,9,Male,Female,Yes,Single,24.5,Grandfather,Granddaughter,Grandfather-Granddaughter
22,13,Male,Female,Yes,Single,17.1,Brother,Sister,Brother-Sister
74,34,Male,Male,Yes,Single,6.9,Grandfather,Grandson,Grandfather-Grandson
34,36,Male,Female,Yes,Married,3.1,Husband,Wife,Husband-Wife
41,46,Male,Female,Yes,Single,7.8,Brother,Sister,Brother-Sister
63,10,Male,Female,Yes,Married,20.1,Father,Daughter,Father-Daughter
55,9,Female,Female,Yes,Married,12.4,Mother,Daughter,Mother-Daughter
37,39,Male,Female,Yes,Married,2.9,Husband,Wife,Husband-Wife
32,4,Female,Female,Yes,Married,6.7,Mother,Daughter,Mother-Daughter
54,8,Male,Male,Yes,Single,12.5,Grandfather,Grandson,Grandfather-Grandson
20,21,Male,Female,Yes,Married,18.6,Husband,Wife,Husband-Wife
27,38,Male,Female,Yes,Married,2.0,Husband,Wife,Husband-Wife
46,13,Male,Male,Yes,Widowed,26.7,Father,Son,Father-Son
33,9,Female,Male,Yes,Married,21.8,Mother,Son,Mother-Son
71,33,Female,Female,Yes,Single,3.2,Grandmother,Granddaughter,Grandmother-Granddaughter
38,18,Male,Female,Yes,Married,16.9,Father,Daughter,Father-Daughter
35,0,Male,Female,Yes,Divorced,11.8,Father,Daughter,Father-Daughter
25,40,Male,Male,No,Single,11.7,Roommate,Roommate,Unrelated
73,34,Male,Female,Yes,Widowed,20.1,Grandfather,Granddaughter,Grandfather-Granddaughter
70,9,Male,Male,Yes,Single,1.5,Grandfather,Grandson,Grandfather-Grandson
51,15,Female,Male,Yes,Single,4.7,Grandmother,Grandson,Grandmother-Grandson
63,27,Female,Male,Yes,Widowed,27.2,Mother,Son,Mother-Son
51,54,Male,Male,Yes,Single,26.6,Brother,Brother,Brother-Brother
42,48,Female,Female,Yes,Single,6.3,Sister,Sister,Sister-Sister
13,13,Male,Male,Yes,Single,5.6,Brother,Brother,Brother-Brother
29,28,Male,Male,Yes,Single,22.2,Brother,Brother,Brother-Brother
75,12,Female,Male,Yes,Single,9.7,Grandmother,Grandson,Grandmother-Grandson
25,35,Male,Female,Yes,Married,7.7,Husband,Wife,Husband-Wife
65,7,Male,Female,Yes,Widowed,2.9,Father,Daughter,Father-Daughter
63,4,Male,Female,Yes,Divorced,14.6,Father,Daughter,Father-Daughter
19,23,Female,Female,Yes,Single,14.3,Sister,Sister,Sister-Sister
61,14,Female,Female,Yes,Divorced,25.2,Mother,Daughter,Mother-Daughter
84,25,Male,Male,Yes,Single,19.4,Grandfather,Grandson,Grandfather-Grandson
87,33,Male,Male,Yes,Widowed,2.0,Grandfather,Grandson,Grandfather-Grandson
50,2,Female,Female,Yes,Single,27.6,Mother,Daughter,Mother-Daughter
56,34,Male,Male,Yes,Married,7.2,Father,Son,Father-Son
62,42,Male,Male,Yes,Widowed,9.7,Father,Son,Father-Son
40,45,Male,Female,Yes,Single,10.2,Brother,Sister,Brother-Sister
24,14,Female,Female,Yes,Single,10.5,Sister,Sister,Sister-Sister
65,6,Male,Female,Yes,Widowed,28.9,Father,Daughter,Father-Daughter
62,27,Male,Male,Yes,Married,29.7,Grandfather,Grandson,Grandfather-Grandson
71,0,Female,Female,Yes,Single,3.7,Grandmother,Granddaughter,Grandmother-Granddaughter
57,7,Male,Female,Yes,Divorced,2.9,Father,Daughter,Father-Daughter
6,14,Male,Male,Yes,Single,2.5,Brother,Brother,Brother-Brother
73,15,Female,Female,Yes,Widowed,20.3,Grandmother,Granddaughter,Grandmother-Granddaughter
40,50,Male,Male,Yes,Single,28.7,Brother,Brother,Brother-Brother
50,46,Male,Female,Yes,Single,5.5,Roommate,Roommate,Unrelated
19,27,Female,Female,Yes,Single,0.5,Sister,Sister,Sister-Sister
11,3,Male,Male,Yes,Single,9.0,Brother,Brother,Brother-Brother
36,31,Female,Female,Yes,Single,23.4,Sister,Sister,Sister-Sister
16,25,Male,Male,Yes,Single,10.8,Brother,Brother,Brother-Brother
56,18,Male,Female,Yes,Divorced,8.1,Grandfather,Granddaughter,Grandfather-Granddaughter
50,31,Female,Female,No,Single,0.6,Roommate,Roommate,Unrelated
56,2,Male,Male,Yes,Divorced,3.1,Grandfather,Grandson,Grandfather-Grandson
90,37,Female,Female,Yes,Divorced,2.5,Grandmother,Granddaughter,Grandmother-Granddaughter
40,38,Male,Male,Yes,Single,21.1,Brother,Brother,Brother-Brother
57,51,Female,Female,No,Single,11.5,Roommate,Roommate,Unrelated
65,6,Male,Female,Yes,Single,7.1,Father,Daughter,Father-Daughter
60,66,Female,Female,Yes,Single,11.8,Sister,Sister,Sister-Sister
32,36,Male,Male,Yes,Single,28.0,Brother,Brother,Brother-Brother
68,19,Male,Female,Yes,Divorced,10.1,Grandfather,Granddaughter,Grandfather-Granddaughter
68,13,Male,Female,Yes,Widowed,28.4,Grandfather,Granddaughter,Grandfather-Granddaughter
32,27,Female,Female,Yes,Single,26.0,Sister,Sister,Sister-Sister
68,13,Female,Female,Yes,Widowed,12.0,Grandmother,Granddaughter,Grandmother-Granddaughter
49,19,Male,Female,Yes,Single,24.0,Father,Daughter,Father-Daughter
36,41,Female,Female,Yes,Single,16.5,Sister,Sister,Sister-Sister
57,54,Male,Female,Yes,Married,20.5,Husband,Wife,Husband-Wife
62,22,Female,Female,Yes,Divorced,24.0,Grandmother,Granddaughter,Grandmother-Granddaughter
32,0,Female,Female,Yes,Divorced,8.6,Mother,Daughter,Mother-Daughter
43,6,Male,Female,Yes,Married,1.6,Father,Daughter,Father-Daughter
41,14,Male,Female,Yes,Divorced,24.4,Father,Daughter,Father-Daughter
56,7,Male,Female,Yes,Married,19.8,Grandfather,Granddaughter,Grandfather-Granddaughter
30,20,Male,Male,Yes,Single,17.2,Brother,Brother,Brother-Brother
61,31,Female,Female,Yes,Divorced,10.7,Mother,Daughter,Mother-Daughter
