order_id,date,item_name,item_type,item_price,quantity,transaction_amount,transaction_type,received_by,time_of_sale,,scj,Aalopuri,Vadapav,Panipuri,Frankie,sandwich,Cd coffee,,,,
121,8/26/2022,Cold coffee,Beverages,40,8,320,Cash,Mr.,Afternoon,8/26/2022,,,,,,,,,,,
122,4/24/2022,Panipuri,Fastfood,20,3,60,,Mrs.,Night,4/24/2022,,,,,,,,,,,
123,06-09-2022,Cold coffee,Beverages,40,6,240,Online,Mr.,Evening,Tuesday,,,,,,,,,,,
124,10/14/2022,Sugarcane juice,Beverages,25,13,325,,Mrs.,Evening,10/14/2022,,,,,,,,,,,
125,04-10-2022,Vadapav,Fastfood,20,7,140,Cash,Mrs.,Midnight,Tuesday,,,,,,,,,,,
126,04-08-2022,Panipuri,Fastfood,20,11,220,Online,Mrs.,Night,Thursday,,,,,,,,,,,
127,12-03-2022,Aalopuri,Fastfood,20,1,20,,Mrs.,Morning,Saturday,,,,,,,,,,,
128,08-07-2022,Vadapav,Fastfood,20,11,220,Online,Mr.,Midnight,Friday,,,,,,,,,,,
129,10/19/2022,Panipuri,Fastfood,20,13,260,Cash,Mrs.,Morning,10/19/2022,,,,,,,,,,,
130,12/28/2022,Sugarcane juice,Beverages,25,7,175,Cash,Mr.,Night,12/28/2022,,,,,,,,,,,
131,1/19/2023,Sandwich,Fastfood,60,8,480,Cash,Mr.,Night,1/19/2023,,,,,,,,,,,
132,12-05-2022,Vadapav,Fastfood,20,4,80,Online,Mrs.,Night,Thursday,,,,,,,,,,,
133,12/20/2022,Aalopuri,Fastfood,20,5,100,Online,Mr.,Midnight,12/20/2022,,,,,,,,,,,
134,7/17/2022,Aalopuri,Fastfood,20,12,240,Online,Mrs.,Night,7/17/2022,,,,,,,,,,,
135,1/14/2023,Aalopuri,Fastfood,20,8,160,Online,Mr.,Midnight,1/14/2023,,,,,,,,,,,
136,8/24/2022,Aalopuri,Fastfood,20,15,300,Online,Mr.,Morning,8/24/2022,,,,,,,,,,,
137,3/19/2023,Sugarcane juice,Beverages,25,6,150,,Mr.,Afternoon,3/19/2023,,,,,,,,,,,
138,09-01-2022,Sandwich,Fastfood,60,15,900,Online,Mr.,Night,Sunday,,,,,,,,,,,
139,2/26/2023,Frankie,Fastfood,50,11,550,Online,Mrs.,Night,2/26/2023,,,,,,,,,,,
140,06-12-2022,Frankie,Fastfood,50,13,650,Cash,Mr.,Night,Tuesday,,,,,,,,,,,
141,6/15/2022,Aalopuri,Fastfood,20,4,80,,Mr.,Evening,6/15/2022,,,,,,,,,,,
142,12/30/2022,Sugarcane juice,Beverages,25,12,300,Cash,Mrs.,Morning,12/30/2022,,,,,,,,,,,
143,9/18/2022,Frankie,Fastfood,50,8,400,,Mrs.,Afternoon,9/18/2022,,,,,,,,,,,
144,11/17/2022,Panipuri,Fastfood,20,10,200,Cash,Mrs.,Evening,11/17/2022,,,,,,,,,,,
145,10-09-2022,Sandwich,Fastfood,60,14,840,Online,Mr.,Morning,Saturday,,,,,,,,,,,
146,10/28/2022,Frankie,Fastfood,50,4,200,,Mrs.,Afternoon,10/28/2022,,,,,,,,,,,
147,5/17/2022,Panipuri,Fastfood,20,7,140,Online,Mr.,Evening,5/17/2022,,,,,,,,,,,
148,3/19/2023,Sandwich,Fastfood,60,13,780,Online,Mr.,Evening,3/19/2023,,,,,,,,,,,
149,08-09-2022,Sandwich,Fastfood,60,7,420,Online,Mr.,Morning,Thursday,,,,,,,,,,,
150,1/30/2023,Cold coffee,Beverages,40,14,560,Cash,Mr.,Afternoon,1/30/2023,,,,,,,,,,,
151,07-10-2022,Frankie,Fastfood,50,13,650,Online,Mrs.,Morning,Friday,,,,,,,,,,,
152,10/24/2022,Cold coffee,Beverages,40,9,360,Online,Mr.,Afternoon,10/24/2022,,,,,,,,,,,
153,7/21/2022,Panipuri,Fastfood,20,1,20,Cash,Mrs.,Evening,7/21/2022,,,,,,,,,,,
154,12/13/2022,Vadapav,Fastfood,20,3,60,Cash,Mr.,Night,12/13/2022,,,,,,,,,,,
155,02-07-2023,Sugarcane juice,Beverages,25,10,250,Cash,Mrs.,Evening,Sunday,,,,,,,,,,,
156,3/25/2023,Panipuri,Fastfood,20,14,280,Cash,Mr.,Midnight,3/25/2023,,,,,,,,,,,
157,2/24/2023,Frankie,Fastfood,50,7,350,Online,Mrs.,Midnight,2/24/2023,,,,,,,,,,,
158,5/16/2022,Aalopuri,Fastfood,20,2,40,,Mr.,Midnight,5/16/2022,,,,,,,,,,,
159,10-03-2022,Sugarcane juice,Beverages,25,1,25,Online,Mrs.,Afternoon,Thursday,,,,,,,,,,,
160,7/23/2022,Vadapav,Fastfood,20,10,200,Online,Mr.,Night,7/23/2022,,,,,,,,,,,
161,1/19/2023,Sugarcane juice,Beverages,25,12,300,Cash,Mr.,Evening,1/19/2023,,,,,,,,,,,
162,05-07-2022,Aalopuri,Fastfood,20,11,220,Cash,Mr.,Midnight,Tuesday,,,,,,,,,,,
163,01-06-2023,Frankie,Fastfood,50,6,300,Online,Mrs.,Midnight,Thursday,,,,,,,,,,,
164,08-10-2022,Sugarcane juice,Beverages,25,7,175,Online,Mr.,Afternoon,Saturday,,,,,,,,,,,
165,01-05-2023,Sandwich,Fastfood,60,11,660,Cash,Mr.,Midnight,Monday,,,,,,,,,,,
166,06-01-2022,Panipuri,Fastfood,20,6,120,Cash,Mrs.,Evening,Thursday,,,,,,,,,,,
167,2/23/2023,Cold coffee,Beverages,40,6,240,Cash,Mrs.,Morning,2/23/2023,,,,,,,,,,,
168,4/19/2022,Sandwich,Fastfood,60,4,240,Cash,Mrs.,Midnight,4/19/2022,,,,,,,,,,,
169,6/20/2022,Vadapav,Fastfood,20,6,120,Cash,Mr.,Morning,6/20/2022,,,,,,,,,,,
170,2/13/2023,Aalopuri,Fastfood,20,6,120,,Mrs.,Afternoon,2/13/2023,,,,,,,,,,,
171,03-02-2023,Vadapav,Fastfood,20,11,220,Cash,Mrs.,Midnight,Friday,,,,,,,,,,,
172,8/27/2022,Sugarcane juice,Beverages,25,6,150,Online,Mrs.,Night,8/27/2022,,,,,,,,,,,
173,1/20/2023,Cold coffee,Beverages,40,2,80,Online,Mr.,Night,1/20/2023,,,,,,,,,,,
174,09-03-2022,Aalopuri,Fastfood,20,2,40,Online,Mr.,Evening,Wednesday,,,,,,,,,,,
175,10/17/2022,Frankie,Fastfood,50,12,600,Cash,Mrs.,Afternoon,10/17/2022,,,,,,,,,,,
176,08-04-2022,Panipuri,Fastfood,20,1,20,Cash,Mrs.,Midnight,Friday,,,,,,,,,,,
177,7/21/2022,Panipuri,Fastfood,20,11,220,Online,Mrs.,Morning,7/21/2022,,,,,,,,,,,
178,12-09-2022,Aalopuri,Fastfood,20,2,40,Cash,Mrs.,Morning,Monday,,,,,,,,,,,
179,03-03-2023,Sugarcane juice,Beverages,25,5,125,,Mrs.,Midnight,Friday,,,,,,,,,,,
180,12-01-2022,Vadapav,Fastfood,20,6,120,Online,Mrs.,Afternoon,Wednesday,,,,,,,,,,,
181,06-09-2022,Cold coffee,Beverages,40,7,280,Cash,Mrs.,Night,Tuesday,,,,,,,,,,,
182,07-02-2022,Cold coffee,Beverages,40,1,40,Cash,Mr.,Midnight,Monday,,,,,,,,,,,
183,07-10-2022,Sugarcane juice,Beverages,25,5,125,Cash,Mrs.,Midnight,Friday,,,,,,,,,,,
184,01-03-2023,Cold coffee,Beverages,40,8,320,Cash,Mr.,Night,Wednesday,,,,,,,,,,,
185,1/13/2023,Sugarcane juice,Beverages,25,15,375,,Mr.,Night,1/13/2023,,,,,,,,,,,
186,3/15/2023,Frankie,Fastfood,50,2,100,Online,Mr.,Afternoon,3/15/2023,,,,,,,,,,,
187,10-11-2022,Aalopuri,Fastfood,20,15,300,Cash,Mrs.,Morning,Thursday,,,,,,,,,,,
188,12/28/2022,Panipuri,Fastfood,20,14,280,Cash,Mrs.,Night,12/28/2022,,,,,,,,,,,
189,02-08-2023,Vadapav,Fastfood,20,12,240,Online,Mr.,Afternoon,Wednesday,,,,,,,,,,,
190,4/26/2022,Cold coffee,Beverages,40,1,40,Online,Mr.,Evening,4/26/2022,,,,,,,,,,,
191,5/20/2022,Sugarcane juice,Beverages,25,14,350,Cash,Mrs.,Morning,5/20/2022,,,,,,,,,,,
192,10/26/2022,Vadapav,Fastfood,20,2,40,Online,Mr.,Night,10/26/2022,,,,,,,,,,,
193,02-05-2023,Cold coffee,Beverages,40,15,600,Online,Mrs.,Midnight,Tuesday,,,,,,,,,,,
194,12/15/2022,Vadapav,Fastfood,20,4,80,Cash,Mrs.,Morning,12/15/2022,,,,,,,,,,,
195,4/23/2022,Sandwich,Fastfood,60,4,240,Cash,Mrs.,Night,4/23/2022,,,,,,,,,,,
196,6/25/2022,Sandwich,Fastfood,60,3,180,Cash,Mr.,Evening,6/25/2022,,,,,,,,,,,
197,11-08-2022,Panipuri,Fastfood,20,10,200,Cash,Mrs.,Midnight,Thursday,,,,,,,,,,,
198,01-05-2023,Frankie,Fastfood,50,15,750,Cash,Mr.,Morning,Monday,,,,,,,,,,,
199,02-01-2023,Frankie,Fastfood,50,6,300,Online,Mrs.,Morning,Monday,,,,,,,,,,,
200,12/25/2022,Cold coffee,Beverages,40,10,400,Cash,Mrs.,Morning,12/25/2022,,,,,,,,,,,
201,6/30/2022,Panipuri,Fastfood,20,8,160,Cash,Mr.,Morning,6/30/2022,,,,,,,,,,,
202,9/21/2022,Aalopuri,Fastfood,20,9,180,Cash,Mr.,Afternoon,9/21/2022,,,,,,,,,,,
203,04-11-2022,Vadapav,Fastfood,20,6,120,Online,Mrs.,Midnight,Friday,,,,,,,,,,,
204,10/24/2022,Cold coffee,Beverages,40,7,280,Cash,Mrs.,Evening,10/24/2022,,,,,,,,,,,
205,10/17/2022,Vadapav,Fastfood,20,4,80,,Mr.,Afternoon,10/17/2022,,,,,,,,,,,
206,7/27/2022,Aalopuri,Fastfood,20,4,80,Cash,Mr.,Night,7/27/2022,,,,,,,,,,,
207,2/20/2023,Cold coffee,Beverages,40,8,320,Online,Mrs.,Evening,2/20/2023,,,,,,,,,,,
208,8/26/2022,Cold coffee,Beverages,40,13,520,Cash,Mrs.,Midnight,8/26/2022,,,,,,,,,,,
209,12-04-2022,Aalopuri,Fastfood,20,2,40,Cash,Mr.,Night,Tuesday,,,,,,,,,,,
210,01-02-2023,Sugarcane juice,Beverages,25,15,375,,Mr.,Night,Wednesday,,,,,,,,,,,
211,4/18/2022,Aalopuri,Fastfood,20,12,240,Cash,Mr.,Morning,4/18/2022,,,,,,,,,,,
212,05-05-2022,Cold coffee,Beverages,40,12,480,Online,Mrs.,Morning,Thursday,,,,,,,,,,,
213,9/29/2022,Vadapav,Fastfood,20,3,60,,Mrs.,Midnight,9/29/2022,,,,,,,,,,,
214,12-03-2022,Sugarcane juice,Beverages,25,14,350,Online,Mr.,Evening,Saturday,,,,,,,,,,,
215,12-10-2022,Sugarcane juice,Beverages,25,7,175,,Mrs.,Morning,Wednesday,,,,,,,,,,,
216,03-07-2023,Panipuri,Fastfood,20,9,180,Cash,Mrs.,Afternoon,Monday,,,,,,,,,,,
217,3/23/2023,Cold coffee,Beverages,40,10,400,Cash,Mr.,Morning,3/23/2023,,,,,,,,,,,
218,12/23/2022,Cold coffee,Beverages,40,13,520,Online,Mrs.,Midnight,12/23/2022,,,,,,,,,,,
219,10-01-2022,Aalopuri,Fastfood,20,9,180,Cash,Mrs.,Evening,Monday,,,,,,,,,,,
220,5/13/2022,Sugarcane juice,Beverages,25,1,25,Cash,Mr.,Afternoon,5/13/2022,,,,,,,,,,,
221,3/26/2023,Sandwich,Fastfood,60,1,60,Online,Mr.,Evening,3/26/2023,,,,,,,,,,,
222,09-11-2022,Sandwich,Fastfood,60,6,360,Cash,Mrs.,Morning,Wednesday,,,,,,,,,,,
223,9/21/2022,Panipuri,Fastfood,20,13,260,Online,Mr.,Night,9/21/2022,,,,,,,,,,,
224,3/23/2023,Sugarcane juice,Beverages,25,14,350,Cash,Mr.,Afternoon,3/23/2023,,,,,,,,,,,
225,3/16/2023,Frankie,Fastfood,50,11,550,Cash,Mrs.,Evening,3/16/2023,,,,,,,,,,,
226,12-12-2022,Aalopuri,Fastfood,20,13,260,Online,Mrs.,Afternoon,Monday,,,,,,,,,,,
227,11/17/2022,Cold coffee,Beverages,40,5,200,Cash,Mrs.,Afternoon,11/17/2022,,,,,,,,,,,
228,11-05-2022,Panipuri,Fastfood,20,8,160,Online,Mr.,Night,Wednesday,,,,,,,,,,,
229,12/15/2022,Panipuri,Fastfood,20,7,140,,Mr.,Evening,12/15/2022,,,,,,,,,,,
230,4/16/2022,Frankie,Fastfood,50,6,300,Online,Mr.,Afternoon,4/16/2022,,,,,,,,,,,
231,4/16/2022,Sugarcane juice,Beverages,25,3,75,,Mr.,Night,4/16/2022,,,,,,,,,,,
232,4/23/2022,Vadapav,Fastfood,20,13,260,Cash,Mrs.,Night,4/23/2022,,,,,,,,,,,
233,7/31/2022,Panipuri,Fastfood,20,5,100,Cash,Mr.,Morning,7/31/2022,,,,,,,,,,,
234,7/27/2022,Panipuri,Fastfood,20,10,200,Cash,Mr.,Midnight,7/27/2022,,,,,,,,,,,
235,11/29/2022,Sandwich,Fastfood,60,10,600,Cash,Mrs.,Afternoon,11/29/2022,,,,,,,,,,,
