order_id,date,item_name,item_type,item_price,quantity,transaction_amount,transaction_type,,received_by,time_of_sale,Day,,,,,,,,,,,,,,,,,,
51,16-05-2022,Frankie,Fastfood,50,15,750,Online,Online,Mrs.,Morning,Monday,,,,,,,,,,,,,,,,,,
52,16-03-2023,Sugarcane juice,Beverages,25,12,300,Cash,Cash,Mrs.,Midnight,Thursday,,,,,,,,,,,,,,,,,,
53,26-07-2022,Aalopuri,Fastfood,20,13,260,Cash,Cash,Mr.,Afternoon,Tuesday,,,,,,,,,,,,,,,,,,
54,28-12-2022,Panipuri,Fastfood,20,14,280,Online,Online,Mrs.,Morning,Wednesday,,,,,,,,,,,,,,,,,,
55,07-05-2022,Sandwich,Fastfood,60,10,600,Cash,Cash,Mr.,Night,Saturday,,,,,,,,,,,,,,,,,,
56,23-11-2022,Panipuri,Fastfood,20,11,220,Cash,Cash,Mrs.,Midnight,Wednesday,,,,,,,,,,,,,,,,,,
57,04-08-2022,Panipuri,Fastfood,20,14,280,Online,Online,Mrs.,Morning,Thursday,,,,,,,,,,,,,,,,,,
58,03-02-2023,Vadapav,Fastfood,20,6,120,Online,Online,Mrs.,Morning,Friday,,,,,,,,,,,,,,,,,,
59,01-07-2022,Vadapav,Fastfood,20,5,100,Cash,Cash,Mr.,Morning,Friday,,,,,,,,,,,,,,,,,,
60,11-06-2022,Cold coffee,Beverages,40,2,80,Online,Online,Mr.,Night,Saturday,,,,,,,,,,,,,,,,,,
61,25-12-2022,Vadapav,Fastfood,20,14,280,Cash,Cash,Mrs.,Afternoon,Sunday,,,,,,,,,,,,,,,,,,
62,17-10-2022,Sugarcane juice,Beverages,25,3,75,Cash,Cash,Mr.,Afternoon,Monday,,,,,,,,,,,,,,,,,,
63,01-12-2022,Sandwich,Fastfood,60,7,420,Online,Online,Mrs.,Morning,Thursday,,,,,,,,,,,,,,,,,,
64,09-12-2022,Cold coffee,Beverages,40,1,40,Cash,Cash,Mr.,Morning,Friday,,,,,,,,,,,,,,,,,,
65,25-07-2022,Aalopuri,Fastfood,20,4,80,Cash,Cash,Mr.,Morning,Monday,,,,,,,,,,,,,,,,,,
66,05-04-2022,Frankie,Fastfood,50,2,100,Cash,Cash,Mrs.,Morning,Tuesday,,,,,,,,,,,,,,,,,,
67,15-05-2022,Aalopuri,Fastfood,20,9,180,Cash,Cash,Mr.,Midnight,Sunday,,,,,,,,,,,,,,,,,,
68,17-12-2022,Cold coffee,Beverages,40,2,80,,Credit,Mr.,Night,Saturday,,,,,,,,,,,,,,,,,,
69,10-01-2023,Vadapav,Fastfood,20,7,140,Cash,Cash,Mr.,Midnight,Tuesday,,,,,,,,,,,,,,,,,,
70,09-05-2022,Cold coffee,Beverages,40,14,560,,Credit,Mrs.,Morning,Monday,,,,,,,,,,,,,,,,,,
71,05-12-2022,Cold coffee,Beverages,40,6,240,Online,Online,Mr.,Night,Monday,,,,,,,,,,,,,,,,,,
72,09-03-2023,Frankie,Fastfood,50,13,650,Online,Online,Mr.,Afternoon,Thursday,,,,,,,,,,,,,,,,,,
73,29-07-2022,Panipuri,Fastfood,20,5,100,Cash,Cash,Mr.,Midnight,Friday,,,,,,,,,,,,,,,,,,
74,15-08-2022,Cold coffee,Beverages,40,10,400,Online,Online,Mrs.,Evening,Monday,,,,,,,,,,,,,,,,,,
75,02-02-2023,Cold coffee,Beverages,40,6,240,Online,Online,Mrs.,Afternoon,Thursday,,,,,,,,,,,,,,,,,,
76,17-08-2022,Vadapav,Fastfood,20,9,180,Online,Online,Mr.,Morning,Wednesday,,,,,,,,,,,,,,,,,,
77,04-02-2023,Sugarcane juice,Beverages,25,12,300,Cash,Cash,Mrs.,Midnight,Saturday,,,,,,,,,,,,,,,,,,
78,01-10-2022,Vadapav,Fastfood,20,4,80,Cash,Cash,Mrs.,Evening,Saturday,,,,,,,,,,,,,,,,,,
79,05-11-2022,Panipuri,Fastfood,20,6,120,Online,Online,Mr.,Night,Saturday,,,,,,,,,,,,,,,,,,
80,24-05-2022,Frankie,Fastfood,50,13,650,Cash,Cash,Mr.,Evening,Tuesday,,,,,,,,,,,,,,,,,,
81,19-11-2022,Frankie,Fastfood,50,12,600,Online,Online,Mrs.,Night,Saturday,,,,,,,,,,,,,,,,,,
82,17-07-2022,Frankie,Fastfood,50,3,150,Online,Online,Mrs.,Evening,Sunday,,,,,,,,,,,,,,,,,,
83,13-11-2022,Frankie,Fastfood,50,11,550,,Credit,Mr.,Evening,Sunday,,,,,,,,,,,,,,,,,,
84,03-03-2023,Panipuri,Fastfood,20,13,260,Cash,Cash,Mr.,Midnight,Friday,,,,,,,,,,,,,,,,,,
85,19-08-2022,Aalopuri,Fastfood,20,3,60,Online,Online,Mrs.,Night,Friday,,,,,,,,,,,,,,,,,,
86,09-03-2023,Aalopuri,Fastfood,20,15,300,Cash,Cash,Mr.,Morning,Thursday,,,,,,,,,,,,,,,,,,
87,29-05-2022,Aalopuri,Fastfood,20,8,160,Cash,Cash,Mr.,Night,Sunday,,,,,,,,,,,,,,,,,,
88,07-07-2022,Cold coffee,Beverages,40,10,400,Cash,Cash,Mr.,Evening,Thursday,,,,,,,,,,,,,,,,,,
89,23-12-2022,Aalopuri,Fastfood,20,14,280,Cash,Cash,Mr.,Evening,Friday,,,,,,,,,,,,,,,,,,
90,29-10-2022,Vadapav,Fastfood,20,15,300,Online,Online,Mr.,Night,Saturday,,,,,,,,,,,,,,,,,,
91,22-03-2023,Cold coffee,Beverages,40,6,240,,Credit,Mrs.,Evening,Wednesday,,,,,,,,,,,,,,,,,,
92,13-05-2022,Aalopuri,Fastfood,20,15,300,Cash,Cash,Mr.,Afternoon,Friday,,,,,,,,,,,,,,,,,,
93,03-07-2022,Cold coffee,Beverages,40,2,80,Online,Online,Mrs.,Midnight,Sunday,,,,,,,,,,,,,,,,,,
94,14-09-2022,Aalopuri,Fastfood,20,15,300,,Credit,Mrs.,Night,Wednesday,,,,,,,,,,,,,,,,,,
95,12-05-2022,Sugarcane juice,Beverages,25,8,200,Online,Online,Mr.,Night,Thursday,,,,,,,,,,,,,,,,,,
96,22-08-2022,Sandwich,Fastfood,60,15,900,,Credit,Mr.,Morning,Monday,,,,,,,,,,,,,,,,,,
97,29-03-2023,Cold coffee,Beverages,40,13,520,Online,Online,Mr.,Evening,Wednesday,,,,,,,,,,,,,,,,,,
98,24-12-2022,Vadapav,Fastfood,20,1,20,Online,Online,Mr.,Morning,Saturday,,,,,,,,,,,,,,,,,,
99,11-09-2022,Sugarcane juice,Beverages,25,3,75,Cash,Cash,Mr.,Evening,Sunday,,,,,,,,,,,,,,,,,,
100,08-05-2022,Panipuri,Fastfood,20,11,220,,Credit,Mr.,Morning,Sunday,,,,,,,,,,,,,,,,,,
101,26-03-2023,Vadapav,Fastfood,20,3,60,Online,Online,Mrs.,Morning,Sunday,,,,,,,,,,,,,,,,,,
102,13-03-2023,Cold coffee,Beverages,40,14,560,Cash,Cash,Mr.,Morning,Monday,,,,,,,,,,,,,,,,,,
103,14-03-2023,Cold coffee,Beverages,40,8,320,Online,Online,Mrs.,Midnight,Tuesday,,,,,,,,,,,,,,,,,,
104,27-10-2022,Cold coffee,Beverages,40,13,520,Online,Online,Mr.,Morning,Thursday,,,,,,,,,,,,,,,,,,
105,25-01-2023,Panipuri,Fastfood,20,8,160,Cash,Cash,Mrs.,Evening,Wednesday,,,,,,,,,,,,,,,,,,
106,25-02-2023,Frankie,Fastfood,50,9,450,Cash,Cash,Mrs.,Evening,Saturday,,,,,,,,,,,,,,,,,,
107,07-02-2023,Sandwich,Fastfood,60,4,240,Online,Online,Mr.,Afternoon,Tuesday,,,,,,,,,,,,,,,,,,
108,06-08-2022,Panipuri,Fastfood,20,5,100,Online,Online,Mr.,Afternoon,Saturday,,,,,,,,,,,,,,,,,,
109,08-08-2022,Cold coffee,Beverages,40,12,480,,Credit,Mr.,Afternoon,Monday,,,,,,,,,,,,,,,,,,
110,16-11-2022,Panipuri,Fastfood,20,2,40,Online,Online,Mrs.,Morning,Wednesday,,,,,,,,,,,,,,,,,,
111,04-09-2022,Sandwich,Fastfood,60,8,480,Cash,Cash,Mrs.,Midnight,Sunday,,,,,,,,,,,,,,,,,,
112,24-02-2023,Sandwich,Fastfood,60,7,420,Cash,Cash,Mr.,Morning,Friday,,,,,,,,,,,,,,,,,,
113,12-12-2022,Aalopuri,Fastfood,20,8,160,Cash,Cash,Mr.,Afternoon,Monday,,,,,,,,,,,,,,,,,,
114,14-08-2022,Aalopuri,Fastfood,20,10,200,Online,Online,Mr.,Afternoon,Sunday,,,,,,,,,,,,,,,,,,
115,12-01-2023,Aalopuri,Fastfood,20,13,260,,Credit,Mr.,Evening,Thursday,,,,,,,,,,,,,,,,,,
116,26-08-2022,Sugarcane juice,Beverages,25,13,325,Cash,Cash,Mr.,Evening,Friday,,,,,,,,,,,,,,,,,,
117,09-03-2023,Frankie,Fastfood,50,7,350,Online,Online,Mrs.,Evening,Thursday,,,,,,,,,,,,,,,,,,
118,06-07-2022,Sandwich,Fastfood,60,1,60,Online,Online,Mr.,Midnight,Wednesday,,,,,,,,,,,,,,,,,,
119,12-05-2022,Panipuri,Fastfood,20,10,200,Cash,Cash,Mr.,Evening,Thursday,,,,,,,,,,,,,,,,,,
120,10-07-2022,Frankie,Fastfood,50,2,100,Cash,Cash,Mrs.,Evening,Sunday,,,,,,,,,,,,,,,,,,
121,26-08-2022,Cold coffee,Beverages,40,8,320,Cash,Cash,Mr.,Afternoon,Friday,,,,,,,,,,,,,,,,,,
122,24-04-2022,Panipuri,Fastfood,20,3,60,,Credit,Mrs.,Night,Sunday,,,,,,,,,,,,,,,,,,
123,09-06-2022,Cold coffee,Beverages,40,6,240,Online,Online,Mr.,Evening,Thursday,,,,,,,,,,,,,,,,,,
124,14-10-2022,Sugarcane juice,Beverages,25,13,325,,Credit,Mrs.,Evening,Friday,,,,,,,,,,,,,,,,,,
125,10-04-2022,Vadapav,Fastfood,20,7,140,Cash,Cash,Mrs.,Midnight,Sunday,,,,,,,,,,,,,,,,,,
126,08-04-2022,Panipuri,Fastfood,20,11,220,Online,Online,Mrs.,Night,Friday,,,,,,,,,,,,,,,,,,
127,03-12-2022,Aalopuri,Fastfood,20,1,20,,Credit,Mrs.,Morning,Saturday,,,,,,,,,,,,,,,,,,
128,07-08-2022,Vadapav,Fastfood,20,11,220,Online,Online,Mr.,Midnight,Sunday,,,,,,,,,,,,,,,,,,
129,19-10-2022,Panipuri,Fastfood,20,13,260,Cash,Cash,Mrs.,Morning,Wednesday,,,,,,,,,,,,,,,,,,
130,28-12-2022,Sugarcane juice,Beverages,25,7,175,Cash,Cash,Mr.,Night,Wednesday,,,,,,,,,,,,,,,,,,
131,19-01-2023,Sandwich,Fastfood,60,8,480,Cash,Cash,Mr.,Night,Thursday,,,,,,,,,,,,,,,,,,
132,05-12-2022,Vadapav,Fastfood,20,4,80,Online,Online,Mrs.,Night,Monday,,,,,,,,,,,,,,,,,,
133,20-12-2022,Aalopuri,Fastfood,20,5,100,Online,Online,Mr.,Midnight,Tuesday,,,,,,,,,,,,,,,,,,
134,17-07-2022,Aalopuri,Fastfood,20,12,240,Online,Online,Mrs.,Night,Sunday,,,,,,,,,,,,,,,,,,
135,14-01-2023,Aalopuri,Fastfood,20,8,160,Online,Online,Mr.,Midnight,Saturday,,,,,,,,,,,,,,,,,,
136,24-08-2022,Aalopuri,Fastfood,20,15,300,Online,Online,Mr.,Morning,Wednesday,,,,,,,,,,,,,,,,,,
137,19-03-2023,Sugarcane juice,Beverages,25,6,150,,Credit,Mr.,Afternoon,Sunday,,,,,,,,,,,,,,,,,,
138,01-09-2022,Sandwich,Fastfood,60,15,900,Online,Online,Mr.,Night,Thursday,,,,,,,,,,,,,,,,,,
139,26-02-2023,Frankie,Fastfood,50,11,550,Online,Online,Mrs.,Night,Sunday,,,,,,,,,,,,,,,,,,
140,12-06-2022,Frankie,Fastfood,50,13,650,Cash,Cash,Mr.,Night,Sunday,,,,,,,,,,,,,,,,,,
141,15-06-2022,Aalopuri,Fastfood,20,4,80,,Credit,Mr.,Evening,Wednesday,,,,,,,,,,,,,,,,,,
142,30-12-2022,Sugarcane juice,Beverages,25,12,300,Cash,Cash,Mrs.,Morning,Friday,,,,,,,,,,,,,,,,,,
143,18-09-2022,Frankie,Fastfood,50,8,400,,Credit,Mrs.,Afternoon,Sunday,,,,,,,,,,,,,,,,,,
144,17-11-2022,Panipuri,Fastfood,20,10,200,Cash,Cash,Mrs.,Evening,Thursday,,,,,,,,,,,,,,,,,,
145,09-10-2022,Sandwich,Fastfood,60,14,840,Online,Online,Mr.,Morning,Sunday,,,,,,,,,,,,,,,,,,
146,28-10-2022,Frankie,Fastfood,50,4,200,,Credit,Mrs.,Afternoon,Friday,,,,,,,,,,,,,,,,,,
147,17-05-2022,Panipuri,Fastfood,20,7,140,Online,Online,Mr.,Evening,Tuesday,,,,,,,,,,,,,,,,,,
148,19-03-2023,Sandwich,Fastfood,60,13,780,Online,Online,Mr.,Evening,Sunday,,,,,,,,,,,,,,,,,,
149,09-08-2022,Sandwich,Fastfood,60,7,420,Online,Online,Mr.,Morning,Tuesday,,,,,,,,,,,,,,,,,,
150,30-01-2023,Cold coffee,Beverages,40,14,560,Cash,Cash,Mr.,Afternoon,Monday,,,,,,,,,,,,,,,,,,
151,10-07-2022,Frankie,Fastfood,50,13,650,Online,Online,Mrs.,Morning,Sunday,,,,,,,,,,,,,,,,,,
152,24-10-2022,Cold coffee,Beverages,40,9,360,Online,Online,Mr.,Afternoon,Monday,,,,,,,,,,,,,,,,,,
153,21-07-2022,Panipuri,Fastfood,20,1,20,Cash,Cash,Mrs.,Evening,Thursday,,,,,,,,,,,,,,,,,,
154,13-12-2022,Vadapav,Fastfood,20,3,60,Cash,Cash,Mr.,Night,Tuesday,,,,,,,,,,,,,,,,,,
155,07-02-2023,Sugarcane juice,Beverages,25,10,250,Cash,Cash,Mrs.,Evening,Tuesday,,,,,,,,,,,,,,,,,,
156,25-03-2023,Panipuri,Fastfood,20,14,280,Cash,Cash,Mr.,Midnight,Saturday,,,,,,,,,,,,,,,,,,
157,24-02-2023,Frankie,Fastfood,50,7,350,Online,Online,Mrs.,Midnight,Friday,,,,,,,,,,,,,,,,,,
158,16-05-2022,Aalopuri,Fastfood,20,2,40,,Credit,Mr.,Midnight,Monday,,,,,,,,,,,,,,,,,,
159,03-10-2022,Sugarcane juice,Beverages,25,1,25,Online,Online,Mrs.,Afternoon,Monday,,,,,,,,,,,,,,,,,,
160,23-07-2022,Vadapav,Fastfood,20,10,200,Online,Online,Mr.,Night,Saturday,,,,,,,,,,,,,,,,,,
161,19-01-2023,Sugarcane juice,Beverages,25,12,300,Cash,Cash,Mr.,Evening,Thursday,,,,,,,,,,,,,,,,,,
162,07-05-2022,Aalopuri,Fastfood,20,11,220,Cash,Cash,Mr.,Midnight,Saturday,,,,,,,,,,,,,,,,,,
163,06-01-2023,Frankie,Fastfood,50,6,300,Online,Online,Mrs.,Midnight,Friday,,,,,,,,,,,,,,,,,,
164,10-08-2022,Sugarcane juice,Beverages,25,7,175,Online,Online,Mr.,Afternoon,Wednesday,,,,,,,,,,,,,,,,,,
165,05-01-2023,Sandwich,Fastfood,60,11,660,Cash,Cash,Mr.,Midnight,Thursday,,,,,,,,,,,,,,,,,,
166,01-06-2022,Panipuri,Fastfood,20,6,120,Cash,Cash,Mrs.,Evening,Wednesday,,,,,,,,,,,,,,,,,,
167,23-02-2023,Cold coffee,Beverages,40,6,240,Cash,Cash,Mrs.,Morning,Thursday,,,,,,,,,,,,,,,,,,
168,19-04-2022,Sandwich,Fastfood,60,4,240,Cash,Cash,Mrs.,Midnight,Tuesday,,,,,,,,,,,,,,,,,,
169,20-06-2022,Vadapav,Fastfood,20,6,120,Cash,Cash,Mr.,Morning,Monday,,,,,,,,,,,,,,,,,,
170,13-02-2023,Aalopuri,Fastfood,20,6,120,,Credit,Mrs.,Afternoon,Monday,,,,,,,,,,,,,,,,,,
171,02-03-2023,Vadapav,Fastfood,20,11,220,Cash,Cash,Mrs.,Midnight,Thursday,,,,,,,,,,,,,,,,,,
172,27-08-2022,Sugarcane juice,Beverages,25,6,150,Online,Online,Mrs.,Night,Saturday,,,,,,,,,,,,,,,,,,
173,20-01-2023,Cold coffee,Beverages,40,2,80,Online,Online,Mr.,Night,Friday,,,,,,,,,,,,,,,,,,
174,03-09-2022,Aalopuri,Fastfood,20,2,40,Online,Online,Mr.,Evening,Saturday,,,,,,,,,,,,,,,,,,
175,17-10-2022,Frankie,Fastfood,50,12,600,Cash,Cash,Mrs.,Afternoon,Monday,,,,,,,,,,,,,,,,,,
176,04-08-2022,Panipuri,Fastfood,20,1,20,Cash,Cash,Mrs.,Midnight,Thursday,,,,,,,,,,,,,,,,,,
177,21-07-2022,Panipuri,Fastfood,20,11,220,Online,Online,Mrs.,Morning,Thursday,,,,,,,,,,,,,,,,,,
178,09-12-2022,Aalopuri,Fastfood,20,2,40,Cash,Cash,Mrs.,Morning,Friday,,,,,,,,,,,,,,,,,,
179,03-03-2023,Sugarcane juice,Beverages,25,5,125,,Credit,Mrs.,Midnight,Friday,,,,,,,,,,,,,,,,,,
180,01-12-2022,Vadapav,Fastfood,20,6,120,Online,Online,Mrs.,Afternoon,Thursday,,,,,,,,,,,,,,,,,,
181,09-06-2022,Cold coffee,Beverages,40,7,280,Cash,Cash,Mrs.,Night,Thursday,,,,,,,,,,,,,,,,,,
182,02-07-2022,Cold coffee,Beverages,40,1,40,Cash,Cash,Mr.,Midnight,Saturday,,,,,,,,,,,,,,,,,,
183,10-07-2022,Sugarcane juice,Beverages,25,5,125,Cash,Cash,Mrs.,Midnight,Sunday,,,,,,,,,,,,,,,,,,
184,03-01-2023,Cold coffee,Beverages,40,8,320,Cash,Cash,Mr.,Night,Tuesday,,,,,,,,,,,,,,,,,,
185,13-01-2023,Sugarcane juice,Beverages,25,15,375,,Credit,Mr.,Night,Friday,,,,,,,,,,,,,,,,,,
186,15-03-2023,Frankie,Fastfood,50,2,100,Online,Online,Mr.,Afternoon,Wednesday,,,,,,,,,,,,,,,,,,
187,11-10-2022,Aalopuri,Fastfood,20,15,300,Cash,Cash,Mrs.,Morning,Tuesday,,,,,,,,,,,,,,,,,,
188,28-12-2022,Panipuri,Fastfood,20,14,280,Cash,Cash,Mrs.,Night,Wednesday,,,,,,,,,,,,,,,,,,
189,08-02-2023,Vadapav,Fastfood,20,12,240,Online,Online,Mr.,Afternoon,Wednesday,,,,,,,,,,,,,,,,,,
190,26-04-2022,Cold coffee,Beverages,40,1,40,Online,Online,Mr.,Evening,Tuesday,,,,,,,,,,,,,,,,,,
191,20-05-2022,Sugarcane juice,Beverages,25,14,350,Cash,Cash,Mrs.,Morning,Friday,,,,,,,,,,,,,,,,,,
192,26-10-2022,Vadapav,Fastfood,20,2,40,Online,Online,Mr.,Night,Wednesday,,,,,,,,,,,,,,,,,,
193,05-02-2023,Cold coffee,Beverages,40,15,600,Online,Online,Mrs.,Midnight,Sunday,,,,,,,,,,,,,,,,,,
194,15-12-2022,Vadapav,Fastfood,20,4,80,Cash,Cash,Mrs.,Morning,Thursday,,,,,,,,,,,,,,,,,,
195,23-04-2022,Sandwich,Fastfood,60,4,240,Cash,Cash,Mrs.,Night,Saturday,,,,,,,,,,,,,,,,,,
196,25-06-2022,Sandwich,Fastfood,60,3,180,Cash,Cash,Mr.,Evening,Saturday,,,,,,,,,,,,,,,,,,
197,08-11-2022,Panipuri,Fastfood,20,10,200,Cash,Cash,Mrs.,Midnight,Tuesday,,,,,,,,,,,,,,,,,,
198,05-01-2023,Frankie,Fastfood,50,15,750,Cash,Cash,Mr.,Morning,Thursday,,,,,,,,,,,,,,,,,,
199,01-02-2023,Frankie,Fastfood,50,6,300,Online,Online,Mrs.,Morning,Wednesday,,,,,,,,,,,,,,,,,,
200,25-12-2022,Cold coffee,Beverages,40,10,400,Cash,Cash,Mrs.,Morning,Sunday,,,,,,,,,,,,,,,,,,
201,30-06-2022,Panipuri,Fastfood,20,8,160,Cash,Cash,Mr.,Morning,Thursday,,,,,,,,,,,,,,,,,,
